stack size              (kbytes, -s) unlimited
sz	1	2	4	8	16	32	64	128	256	512
10	0.032	0.012	0.010	0.025	0.013	0.016	0.022	0.036	0.064	0.116
100	0.010	0.010	0.010	0.012	0.013	0.018	0.026	0.043	0.063	0.116
1000	0.010	0.025	0.011	0.011	0.014	0.035	0.028	0.046	0.083	0.155
10000	0.026	0.009	0.012	0.022	0.030	0.041	0.043	0.052	0.095	0.171
100000	0.011	0.011	0.014	0.030	0.050	0.126	0.241	0.369	0.393	0.430
1000000	0.042	0.051	0.077	0.183	0.258	0.350	0.351	0.634	1.237	2.433
10000000	0.258	0.368	0.578	1.395	2.834	3.938	6.198	8.250	14.140	20.254
100000000	2.481	3.448	5.162	13.956	28.108	38.834	62.954	86.611	165.295	214.618
1000000000	24.786	33.735	51.434	139.068	281.519	390.435	632.142	868.241	1682.408	2170.972
